Time,TaxDirectHH,GovTransf,TaxDirectFirm,GovInv,OtherSpend,OtherRev,Country
Total,-0,0,0.050489793156679,0.428147294026567,0.220700494809396,0.699337581992642,FI
2021,-0,0,0.172241798778519,0.305190937210688,0.0608228851936644,0.538255621182871,FR
2022,-0,0,0.0425019319916338,0.339431431158362,0.047607438893111,0.429540802043107,FR
2023,-0,0,0.0085859535213716,0.186859321801538,-0.00464630818131838,0.190798967141591,FR
2024,-0,0,0.00342324603143088,0.137186584709592,0.0168594867047971,0.15746931744582,FR
2025,-0,0,0.00336019118110736,0.0238573573858623,0.0366260838740702,0.0638436324410399,FR
2026,-0,0,0,0.0918325629591636,0.0229581407397909,0.114790703698955,FR
Total,-0,0,0.230113121504062,1.08435819522521,0.180227727224115,1.49469904395338,FR
2021,-0,0,0,0,0,0.17342233471108,DE
2022,-0,0,0,0,0,0.0971326443391095,DE
2023,-0,0,0,0,0,0.0670725782177655,DE
2024,-0,0,0,0,0,0.126704504766723,DE
2025,-0,0,0,0,0,0.0797329223191063,DE
2026,-0,0,0,0,0,0.115918789603789,DE
Total,-0,0,0,0,0,0.659983773957573,DE
2021,-0,0.053311534739883,0,0.112687579981211,8.06178098178189e-05,0.166079732530912,GR
2022,-0,0.0187008427301445,5.29217183511879e-11,0.438937603315208,0.0144307399128812,0.472069186011156,GR
2023,-0,0.0249960111173822,0.153373090610928,0.740609192892975,0.0273047137149757,0.94628300833626,GR
2024,-0,0.132412066291933,0.127912863982247,1.30214668466672,0.117154223642041,1.67962583858294,GR
2025,-0,0.122604103803576,0.119279563087727,1.89467129198433,0.0957757619845883,2.23233072086022,GR
2026,-0,0.121927835250583,0.0397360257032125,2.72631395311742,0.0721675424271255,2.96014535649834,GR
Total,-0,0.473952393933502,0.440301543437036,7.21536630595785,0.326913599491429,8.45653384281982,GR
2021,-0,0,0.00447034790095307,0.0544199131986415,0.0010797746570499,0.153030982742002,IT
2022,-0,0.000304606822006336,0.0428044104181784,0.3474982694169,0.0183858524540947,0.615649455860889,IT
2023,-0,0.0148797544209647,0.0512228605677306,0.509941028029607,0.0396724809066729,0.790301382189838,IT
2024,-0,0.046971777002878,0.055744409824023,1.07611111970388,0.28050483139521,0.586982537123626,IT
2025,-0,0.0241297212514957,0.0814844700180102,1.47705043541146,0.343776125402374,0.68993690010064,IT
2026,-0,0.0114766894849933,0.0579239118091541,1.41465848756118,0.238500413043355,0.494388251964775,IT
Total,-0,0.0977625489823381,0.293650410538049,4.87967925332167,0.921919477858757,3.33028950998177,IT
2021,-0,0,0,0,0,0.0551399248499804,NL
2022,-0,0,0,0,0,0.0989313960274496,NL
2023,-0,0,0,0,0,0.0936262359148794,NL
2024,-0,0,0,0,0,0.0875933998480123,NL
2025,-0,0,0,0,0,0.0840937297848399,NL
2026,-0,0,0,0,0,0.0812062780190019,NL
Total,-0,0,0,0,0,0.500590964444163,NL
2021,-0,0,0,0.0313781176313214,0.0103221772596616,0.041700294890983,PT
2022,-0,0,0.022553873963906,0.186813332405575,0.11649312119221,0.324085425335028,PT
2023,-0,0.000575418698343407,0.04607931770373,0.459498882190867,0.0950652854661336,0.581614322552134,PT
2024,-0,0.00960759602862186,0.0373956012435629,1.04283846797433,0.297122244640764,1.27737545962103,PT
2025,-0,0.0125503890221878,0.0398204443850358,1.75109914508114,0.424466737870341,1.72622799623828,PT
2026,-0,0.00912523580244317,0.0257613977720213,1.96523243888059,0.416711524229586,1.62715335427295,PT
Total,-0,0.0318586395515962,0.171610635068256,5.43686038416382,1.3601810906587,5.5781568529104,PT
2021,-0,0.0188734029314856,0,0.180092822673727,0.0231347655933073,0.22210099119852,ES
2022,-0,0.0526219930015535,0,0.29152611851616,0.0755157649002143,0.419663876417928,ES
2023,-0,0.0757312195878601,0,0.531860562419756,0.106140255685981,0.713732037693597,ES
2024,-0,0.0562747040884056,0,0.791782689399841,0.076734221010759,0.924791614499006,ES
2025,-0,0.0564359509861812,0,0.972399794565278,0.0809890268973024,1.10982477244876,ES
2026,-0,0.0115885702395023,0,1.02114644708824,0.0352152403195543,1.0679502576473,ES
Total,-0,0.271525840834988,0,3.788808434663,0.397729274407118,4.45806354990511,ES
2021,0,0,0,0.0155792745655605,0.00370787134659313,0.0214055075130163,RA
2022,0,0,0.00328321692455671,0.0681759512657936,0.0266054665749229,0.100507739841377,RA
2023,0,0,0.0110796664769527,0.126375227855934,0.0663813338223842,0.203189103793297,RA
2024,0,-9.90214553571975e-18,0.0324012227569,0.396190169834612,0.0728313329759706,0.393406419100268,RA
2025,0,0,0.0323490889538683,0.487470731166432,0.1095149478584,0.497149670450927,RA
2026,0,-2.20261289887835e-18,0.0157185666684139,0.446578463693164,0.101065610139331,0.442934732240971,RA
Total,0,-1.21047584345981e-17,0.0948317617806917,1.5403698183815,0.380106562717602,1.65859317293986,RA
