STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,EU27_2020,European Union (27 countries from 01/02/2020),S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2004,,4154158.013,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,EU27_2020,European Union (27 countries from 01/02/2020),S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2003,,3665303.859,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,EU27_2020,European Union (27 countries from 01/02/2020),S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2002,,2993813.52,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,EU27_2020,European Union (27 countries from 01/02/2020),S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2001,,2740418.727,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,EU27_2020,European Union (27 countries from 01/02/2020),S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2000,,2702718.256,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,EU27_2020,European Union (27 countries from 01/02/2020),S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,1999,,2943563.083,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,EU27_2020,European Union (27 countries from 01/02/2020),S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,1996,,3175717.441,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,EU27_2020,European Union (27 countries from 01/02/2020),S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,1995,,3147737.817,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,EU27_2020,European Union (27 countries from 01/02/2020),S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2018,,6025502.243,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,EU27_2020,European Union (27 countries from 01/02/2020),S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2017,,5513580.454,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
