"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.RES:WEO(6.0.0)","CRI.NGDPD.A","OBS_VALUE","Costa Rica","Gross domestic product (GDP), Current prices, US dollar","Annual","11.578","11.683","12.618","13.688","14.259","15.016","15.979","16.584","17.277","18.615","20.049","22.717","26.885","30.802","30.746","37.656","42.762","47.231","50.949","52.017","56.442","58.847","60.517","62.422","64.412","62.382"
"IMF.RES:WEO(6.0.0)","COG.NGDPD.A","OBS_VALUE","Congo, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","2.457","2.84","2.568","2.24","2.646","3.624","3.038","3.33","3.863","5.101","6.654","8.073","8.784","11.649","9.713","13.159","15.653","17.704","17.959","17.918","11.891","10.928","11.83","14.781","13.977","11.485"
"IMF.RES:WEO(6.0.0)","COM.NGDPD.A","OBS_VALUE","Comoros, Union of the","Gross domestic product (GDP), Current prices, US dollar","Annual","0.393","0.392","0.363","0.364","0.372","0.34","0.373","0.427","0.547","0.622","0.656","0.689","0.796","0.916","0.904","0.909","1.023","1.016","1.116","1.15","0.966","1.013","1.077","1.179","1.188","1.218"
"IMF.RES:WEO(6.0.0)","CHL.NGDPD.A","OBS_VALUE","Chile","Gross domestic product (GDP), Current prices, US dollar","Annual","74.119","78.575","85.73","81.996","75.596","78.25","71.517","70.295","76.508","99.079","122.315","153.84","172.565","179.663","171.794","217.105","251.225","267.165","277.218","259.394","242.515","249.306","276.357","295.428","278.04","254.06"
"IMF.RES:WEO(6.0.0)","CZE.NGDPD.A","OBS_VALUE","Czech Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","60.565","67.805","62.53","67.161","65.586","62.171","68.136","82.596","100.471","120.148","137.264","156.236","189.845","236.82","207.095","211.169","231.429","210.363","213.024","210.911","189.108","198.161","221.564","251.992","256.794","251.11"
"IMF.RES:WEO(6.0.0)","CIV.NGDPD.A","OBS_VALUE","Côte d'Ivoire","Gross domestic product (GDP), Current prices, US dollar","Annual","15.205","16.78","16.203","17.433","17.114","14.851","15.485","17.148","21.206","22.924","23.626","24.628","28.158","33.621","33.693","34.431","35.529","37.03","43.228","48.882","45.815","48.408","52.512","58.522","60.383","63.119"
"IMF.RES:WEO(6.0.0)","DNK.NGDPD.A","OBS_VALUE","Denmark","Gross domestic product (GDP), Current prices, US dollar","Annual","184.85","187.482","173.242","176.876","177.887","164.043","164.881","178.788","218.422","251.988","265.15","283.387","320.213","354.977","322.621","322.346","344.316","326.793","344.631","352.833","301.759","312.182","331.611","355.293","345.402","355.631"
"IMF.RES:WEO(6.0.0)","HRV.NGDPD.A","OBS_VALUE","Croatia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","20.65","22.097","22.094","23.963","23.585","22.138","23.063","26.739","35.249","41.836","45.05","49.601","59.325","68.515","62.028","58.886","62.756","57.447","59.592","59.506","51.016","52.726","56.302","61.886","61.871","58.179"
"IMF.RES:WEO(6.0.0)","DMA.NGDPD.A","OBS_VALUE","Dominica","Gross domestic product (GDP), Current prices, US dollar","Annual","0.275","0.292","0.303","0.322","0.332","0.333","0.34","0.333","0.343","0.367","0.364","0.39","0.421","0.458","0.489","0.494","0.501","0.486","0.498","0.52","0.541","0.576","0.522","0.555","0.612","0.504"
"IMF.RES:WEO(6.0.0)","DOM.NGDPD.A","OBS_VALUE","Dominican Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","16.637","18.242","20.017","21.672","22.137","24.306","25.602","27.249","21.518","22.506","35.948","37.998","44.067","48.206","48.319","53.921","58.088","60.747","62.758","67.264","71.254","75.777","80.082","85.63","89.032","78.923"
"IMF.RES:WEO(6.0.0)","DJI.NGDPD.A","OBS_VALUE","Djibouti","Gross domestic product (GDP), Current prices, US dollar","Annual","0.699","0.694","0.706","0.722","0.759","0.781","0.811","0.837","0.882","0.936","0.996","1.08","1.191","1.382","1.426","1.544","1.74","1.901","2.044","2.221","2.424","2.605","2.763","2.913","3.089","3.185"
"IMF.RES:WEO(6.0.0)","CYP.NGDPD.A","OBS_VALUE","Cyprus","Gross domestic product (GDP), Current prices, US dollar","Annual","9.937","10.016","9.544","10.251","10.502","9.988","10.397","11.422","14.552","17.328","18.713","20.422","24.082","27.955","26.02","25.821","27.637","25.063","23.96","23.232","19.911","21.041","22.938","25.609","25.95","25.207"
"IMF.RES:WEO(6.0.0)","ERI.NGDPD.A","OBS_VALUE","Eritrea, The State of","Gross domestic product (GDP), Current prices, US dollar","Annual","0.483","0.579","0.594","0.626","0.614","0.547","0.582","0.564","0.673","0.858","0.85","0.937","1.02","0.923","1.297","1.59","2.065","2.255","1.958","2.604","2.016","2.213","1.904","2.006","1.982",""
"IMF.RES:WEO(6.0.0)","ECU.NGDPD.A","OBS_VALUE","Ecuador","Gross domestic product (GDP), Current prices, US dollar","Annual","21.98","23.001","25.847","26.292","18.891","17.531","23.127","27.054","30.965","35.195","40.279","45.691","49.849","61.139","60.095","68.151","78.987","87.735","96.57","102.718","97.21","97.671","104.467","107.479","107.596","95.865"
"IMF.RES:WEO(6.0.0)","GNQ.NGDPD.A","OBS_VALUE","Equatorial Guinea, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","0.169","0.276","0.526","0.44","0.738","1.159","1.674","2.07","3.733","5.935","8.191","10.096","13.091","19.828","15.072","16.328","21.354","22.403","21.949","21.771","13.187","11.238","12.197","13.309","11.365","9.908"
"IMF.RES:WEO(6.0.0)","EGY.NGDPD.A","OBS_VALUE","Egypt, Arab Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","63.25","71.118","79.777","89.189","95.039","104.752","102.273","90.261","85.163","82.855","94.127","112.902","137.055","170.797","198.316","230.024","247.726","294.482","303.194","321.634","350.119","351.443","246.826","263.156","317.894","382.525"
"IMF.RES:WEO(6.0.0)","SLV.NGDPD.A","OBS_VALUE","El Salvador","Gross domestic product (GDP), Current prices, US dollar","Annual","8.922","9.586","10.222","10.937","11.284","11.785","12.283","12.664","13.244","13.725","14.698","16.0","17.012","17.987","17.602","18.448","20.284","21.386","21.991","22.593","23.438","24.191","24.979","26.021","26.881","24.921"
"IMF.RES:WEO(6.0.0)","SWZ.NGDPD.A","OBS_VALUE","Eswatini, Kingdom of","Gross domestic product (GDP), Current prices, US dollar","Annual","1.932","1.83","1.957","1.797","1.764","1.739","1.544","1.436","2.198","2.774","3.177","3.293","3.465","3.298","3.596","4.438","4.826","4.887","4.6","4.426","4.061","3.815","4.407","4.667","4.495","3.984"
"IMF.RES:WEO(6.0.0)","EST.NGDPD.A","OBS_VALUE","Estonia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","3.909","4.785","5.16","5.678","5.771","5.707","6.274","7.393","9.894","12.161","14.129","17.049","22.478","24.434","19.694","19.569","23.3","23.252","25.451","27.063","23.314","24.554","27.46","31.237","31.877","31.791"
"IMF.RES:WEO(6.0.0)","FIN.NGDPD.A","OBS_VALUE","Finland","Gross domestic product (GDP), Current prices, US dollar","Annual","134.21","132.046","127.027","134.164","135.369","126.023","129.521","140.262","171.57","197.369","204.973","217.056","256.39","285.667","253.206","249.633","275.079","257.606","270.272","273.549","233.234","238.712","253.757","273.993","267.044","269.784"
"IMF.RES:WEO(6.0.0)","ETH.NGDPD.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","7.887","8.794","8.621","7.815","7.515","8.167","8.103","7.828","8.604","10.122","12.387","15.31","19.329","26.25","28.672","26.887","30.48","42.221","46.544","54.165","63.081","72.12","76.841","80.207","92.608","96.611"
"IMF.RES:WEO(6.0.0)","FJI.NGDPD.A","OBS_VALUE","Fiji, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","2.134","2.307","2.268","1.795","2.104","1.824","1.798","1.996","2.509","2.954","3.257","3.361","3.688","3.816","3.106","3.402","4.094","4.303","4.539","4.857","4.682","4.93","5.353","5.581","5.444","4.432"
