"Country Name","Country Code","Indicator Name","Indicator Code","Unit Name","Unit Code",Attribute,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
"Uzbekistan","927","Private investment (gross fixed capital formation)","IPRIV","Percent of GDP","rpppgdp","Value","0.810320121378136","2.05917382132643","0.704640566518836","0.216917691841663","0.669698955105929","0.62552071042553","1.28087841578413","0.0636001983024481","1.85128613882108","2.69817226320215","3.04489622782915","3.8157630068812","4.82593031112044","6.24044298569211","7.08489902861325","7.51733080911338","7.04960989836215","7.47193791116175","7.64200832376762","8.04939749604913","8.00791615767926","7.81303007889103","9.01594440160597","10.6303415444919","12.9241635650353",
"Venezuela","299","General government investment (gross fixed capital formation)","IGOV","Percent of GDP","rpppgdp","Value","20.083226105883","20.4353466552259","15.9775492436761","15.6961743166377","11.7645419576192","11.5878091807269","11.4941691274403","15.586881956351","11.6406661511116","13.5701893321021","15.5234221834945","22.9255116289683","25.2711665419894","28.1860324324541","25.2830202148945","27.6874943679536","29.5479353048024","31.5626108667635","28.3309649886832","24.4931338897381","20.7933920923971","13.7489083681759","8.92401650653706","13.4909707834123","13.3486543253415",
"Malaysia","548","Private investment (gross fixed capital formation)","IPRIV","Percent of GDP","rpppgdp","Value","29.4582001200101","29.6454453704944","30.2137229820316","15.3466025681356","11.6535692756893","14.5802600431088","12.7244056283358","9.94047707198665","9.97082278148757","12.3991082778468","11.5037243890589","11.477296433663","12.3107576322492","11.7010403511216","11.012695802251","12.1743944995918","12.6827766582935","14.5623810647429","15.7121274297851","16.4564985985546","16.6919871638374","16.7010588203145","17.2074476919013","17.1310153731338","16.6738765961305",
"Maldives","556","General government investment (gross fixed capital formation)","IGOV","Percent of GDP","rpppgdp","Value","6.9793243912125","5.74145942433829","5.50425714031171","5.37154794092041","8.66621676474852","6.11510929632247","7.22589787282956","6.70360497075741","7.54979468366422","6.84206421501069","12.2312667647698","10.5261608300108","12.5589030706315","18.4835415508755","10.1880884523344","10.198917360025","13.7380631166701","9.67427491277583","6.37693993825426","8.02026435785375","15.0381918955677","25.0054717370467","20.2038312297852","23.6673134902698","18.6920467551533",
"Maldives","556","Private investment (gross fixed capital formation)","IPRIV","Percent of GDP","rpppgdp","Value","5.81484534124071","7.82402216653301","10.2125135144774","9.70783752972707","7.58721002070155","7.23785654360907","7.863283166207","7.14848594392883","9.30877600757971","14.8418244044745","19.9453899909078","18.5789396986518","21.4693104017397","18.8495548989783","15.959812607916","16.1124845474345","17.2844460349001","20.0798542258428","24.477002066046","27.2668779340634","25.365126244089","14.0653569424115","18.9884548188137","23.1103190614835","23.8710111818896",
"Mali","678","Private investment (gross fixed capital formation)","IPRIV","Percent of GDP","rpppgdp","Value","16.6124893248202","15.8760441932645","15.7262384196989","12.4102051381375","5.06805939729218","5.86436654585294","7.35143337456452","6.60068833919437","6.76679562280088","8.1619702630987","8.37252098036228","7.60160164093146","7.15267583649471","11.4393601050614","7.90604397704551","9.53289366287501","9.5490728940205","7.94287026614352","7.43531507722807","7.19474108020061","7.53920615484685","6.63254215612425","5.9839238943222","7.66262032629165","8.68035222715268",
"Malta","181","General government investment (gross fixed capital formation)","IGOV","Percent of GDP","rpppgdp","Value","3.59142509039419","3.86687543839338","4.52969641929945","5.30549009597616","5.66154506071579","4.74516039401322","4.33944517292983","5.05683175912253","5.76678659738478","4.82250466521826","6.13766554832567","5.41285245306643","5.12317494170254","3.40575637426002","3.20682224033342","3.05483352396121","3.81190855717866","4.29198038516708","3.808866239383","4.66676203178509","5.33186301876586","3.13574873652555","2.95543115216407",,,
"Malta","181","Private investment (gross fixed capital formation)","IPRIV","Percent of GDP","rpppgdp","Value","25.4269714403221","23.1393273278754","23.0531752133513","22.7766816981646","22.1483897207197","22.9522951913987","20.8676270324462","15.2634815397519","20.6988845789405","21.6602226095777","23.4915424824763","24.4398497893471","25.2014984942631","23.2508796019392","20.8875657950681","26.3682575289552","20.4546730551629","19.66497492612","19.3250586793387","18.0619823960742","26.5560689047207","26.9383814648453","23.285316354412",,,
"Mauritania","682","General government investment (gross fixed capital formation)","IGOV","Percent of GDP","rpppgdp","Value","2.4251315105615","1.65846470736018","1.62861712810946","2.02858003058635","1.98383528781909","2.33327774081592","2.42542078069172","3.27907323223408","3.79466404404227","3.52333254923184","3.52720307218497","3.31841224526627","3.91287121958258","3.39388733520381","3.36443729756176","3.85273095403119","2.48865195155497","4.21784729607438","3.44111404536053","3.57439799494654","3.85542133338152","2.78952855746039","2.08474699233398","2.18986335662437","2.16503892020072",
"Mauritania","682","Private investment (gross fixed capital formation)","IPRIV","Percent of GDP","rpppgdp","Value","14.2099021373155","9.71766766486594","9.54277715517445","11.8863330378505","11.6241540323857","13.6716898431209","14.2115958538873","19.2135173429989","22.2345885676755","20.6447384384026","20.667415978936","19.4440206667887","22.9272125632935","19.8862615774923","19.713700055358","19.5454668912745","20.7214991329225","20.6025884184944","21.1798164703656","20.6846259993165","17.0992569933667","16.659686468007","13.405005816455","17.8154798472034","17.5532646466825",
