EAB_rhocg,0.9,0.9,0.9,0.9,0.9
EAB_rhoig,0.9,0.9,0.9,0.9,0.9
EAB_rhorp,0.9,0.9,0.9,0.9,0.9
EAB_rhotauc,0.9,0.9,0.9,0.9,0.9
EAB_rhotaud,0.9,0.9,0.9,0.9,0.9
EAB_rhotauk,0.9,0.9,0.9,0.9,0.9
EAB_rhotaun,0.9,0.9,0.9,0.9,0.9
EAB_rhotauwf,0.9,0.9,0.9,0.9,0.9
EAB_rhotauwh,0.9,0.9,0.9,0.9,0.9
EAB_rhotr,0.9,0.9,0.9,0.9,0.9
EAB_rhowcst,0.9,0.9,0.9,0.9,0.9
EAB_rhozcon,0.9,0.9,0.9,0.9,0.9
EAB_rhozinv,0.9,0.9,0.9,0.9,0.9
EAB_rhozn,0.9,0.9,0.9,0.9,0.9
EAB_rhozt,0.9,0.9,0.9,0.9,0.9
EAB_sigma,1,1,1,1,1
EAB_size,0.005058,0.005058,0.005058,0.005058,0.005058
EAB_xin,0.92,0.92,0.92,0.92,0.92
EAB_xih,0.92,0.92,0.92,0.92,0.92
EAB_xii,0.75,0.75,0.75,0.75,0.75
EAB_xij,0.75,0.75,0.75,0.75,0.75
EAB_xix,0.75,0.75,0.75,0.75,0.75
EAB_zeta,2,2,2,2,2
EAB_eta,4.33,4.33,4.33,4.33,4.33
EAB_etai,4.33,4.33,4.33,4.33,4.33
EAB_etaj,4.33,4.33,4.33,4.33,4.33
EAB_thetan,3,3,3,3,3
EAB_thetat,6,6,6,6,6
EAB_upsilont,1.2,1.2,1.2,1.2,1.2
EAB_upsilontr,0.66666666,0.66666666,0.66666666,0.66666666,0.66666666
EACEAB_imcy,0.001607,0.001607,0.001607,0.001607,0.001607
EACEAD_imcy,0.006726,0.006726,0.006726,0.006726,0.006726
EACEAE_imcy,0.000758,0.000758,0.000758,0.000758,0.000758
EACEAF_imcy,0.035367,0.035367,0.035367,0.035367,0.035367
EACEAG_imcy,0.000604,0.000604,0.000604,0.000604,0.000604
EACEAH_imcy,0.004757,0.004757,0.004757,0.004757,0.004757
EACEAI_imcy,0.006896,0.006896,0.006896,0.006896,0.006896
EACEAJ_imcy,0.028328,0.028328,0.028328,0.028328,0.028328
EACEAK_imcy,0.001418,0.001418,0.001418,0.001418,0.001418
EACEAL_imcy,0.023252,0.023252,0.023252,0.023252,0.023252
EACRW_imcy,0.070178,0.070178,0.070178,0.070178,0.070178
EACUS_imcy,0.011513,0.011513,0.011513,0.011513,0.011513
EACEAB_imiy,0.000923,0.000923,0.000923,0.000923,0.000923
EACEAD_imiy,0.002691,0.002691,0.002691,0.002691,0.002691
EACEAE_imiy,0.000447,0.000447,0.000447,0.000447,0.000447
EACEAF_imiy,0.013034,0.013034,0.013034,0.013034,0.013034
EACEAG_imiy,0.000128,0.000128,0.000128,0.000128,0.000128
EACEAH_imiy,0.001903,0.001903,0.001903,0.001903,0.001903
EACEAI_imiy,0.003967,0.003967,0.003967,0.003967,0.003967
EACEAJ_imiy,0.010172,0.010172,0.010172,0.010172,0.010172
EACEAK_imiy,0.000618,0.000618,0.000618,0.000618,0.000618
EACEAL_imiy,0.015784,0.015784,0.015784,0.015784,0.015784
EACRW_imiy,0.038698,0.038698,0.038698,0.038698,0.038698
EACUS_imiy,0.006865,0.006865,0.006865,0.006865,0.006865
EACEAB_imcgy,0.000431,0.000431,0.000431,0.000431,0.000431
EACEAD_imcgy,0.001418,0.001418,0.001418,0.001418,0.001418
EACEAE_imcgy,0.000169,0.000169,0.000169,0.000169,0.000169
EACEAF_imcgy,0.006792,0.006792,0.006792,0.006792,0.006792
EACEAG_imcgy,8.40E-05,8.40E-05,8.40E-05,8.40E-05,8.40E-05
EACEAH_imcgy,0.002222,0.002222,0.002222,0.002222,0.002222
EACEAI_imcgy,0.002022,0.002022,0.002022,0.002022,0.002022
EACEAJ_imcgy,0.005311,0.005311,0.005311,0.005311,0.005311
EACEAK_imcgy,0.000297,0.000297,0.000297,0.000297,0.000297
EACEAL_imcgy,0.004358,0.004358,0.004358,0.004358,0.004358
EACRW_imcgy,0.016057,0.016057,0.016057,0.016057,0.016057
EACUS_imcgy,0.003792,0.003792,0.003792,0.003792,0.003792
EACEAB_imigy,0.000103,0.000103,0.000103,0.000103,0.000103
EACEAD_imigy,0.000299,0.000299,0.000299,0.000299,0.000299
EACEAE_imigy,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05
EACEAF_imigy,0.001448,0.001448,0.001448,0.001448,0.001448
EACEAG_imigy,1.40E-05,1.40E-05,1.40E-05,1.40E-05,1.40E-05
EACEAH_imigy,0.000211,0.000211,0.000211,0.000211,0.000211
EACEAI_imigy,0.000441,0.000441,0.000441,0.000441,0.000441
