variable,year,value
ATES_imcy,2020,0.002637
ATES_imcy,average,0.003324
ATES_imigy,1995,0.000023
ATES_imigy,1996,0.000026
ATES_imigy,1997,0.000035
ATES_imigy,1998,0.000036
ATES_imigy,1999,0.000035
ATES_imigy,2000,0.000036
ATES_imigy,2001,0.000036
ATES_imigy,2002,0.000040
ATES_imigy,2003,0.000047
ATES_imigy,2004,0.000046
ATES_imigy,2005,0.000045
ATES_imigy,2006,0.000047
ATES_imigy,2007,0.000048
ATES_imigy,2008,0.000047
ATES_imigy,2009,0.000049
ATES_imigy,2010,0.000051
ATES_imigy,2011,0.000057
ATES_imigy,2012,0.000056
ATES_imigy,2013,0.000062
ATES_imigy,2014,0.000061
ATES_imigy,2015,0.000057
ATES_imigy,2016,0.000066
ATES_imigy,2017,0.000057
ATES_imigy,2018,0.000069
ATES_imigy,2019,0.000069
ATES_imigy,2020,0.000065
ATES_imigy,average,0.000051
ATES_imiy,1995,0.000969
ATES_imiy,1996,0.001073
ATES_imiy,1997,0.001388
ATES_imiy,1998,0.001395
ATES_imiy,1999,0.001354
ATES_imiy,2000,0.001466
ATES_imiy,2001,0.001376
ATES_imiy,2002,0.001360
ATES_imiy,2003,0.001576
ATES_imiy,2004,0.001529
ATES_imiy,2005,0.001401
ATES_imiy,2006,0.001433
ATES_imiy,2007,0.001507
ATES_imiy,2008,0.001438
ATES_imiy,2009,0.001463
ATES_imiy,2010,0.001488
ATES_imiy,2011,0.001692
ATES_imiy,2012,0.001660
ATES_imiy,2013,0.001805
ATES_imiy,2014,0.001708
ATES_imiy,2015,0.001649
ATES_imiy,2016,0.001969
ATES_imiy,2017,0.001750
ATES_imiy,2018,0.001887
ATES_imiy,2019,0.001924
ATES_imiy,2020,0.001782
ATES_imiy,average,0.001587
ATFI_imcgy,1995,0.000133
ATFI_imcgy,1996,0.000137
ATFI_imcgy,1997,0.000148
ATFI_imcgy,1998,0.000256
ATFI_imcgy,1999,0.000274
ATFI_imcgy,2000,0.000260
ATFI_imcgy,2001,0.000286
ATFI_imcgy,2002,0.000265
ATFI_imcgy,2003,0.000292
ATFI_imcgy,2004,0.000231
ATFI_imcgy,2005,0.000348
ATFI_imcgy,2006,0.000215
ATFI_imcgy,2007,0.000119
ATFI_imcgy,2008,0.000162
ATFI_imcgy,2009,0.000147
ATFI_imcgy,2010,0.000129
ATFI_imcgy,2011,0.000107
ATFI_imcgy,2012,0.000110
ATFI_imcgy,2013,0.000100
ATFI_imcgy,2014,0.000102
ATFI_imcgy,2015,0.000112
ATFI_imcgy,2016,0.000114
ATFI_imcgy,2017,0.000112
ATFI_imcgy,2018,0.000120
ATFI_imcgy,2019,0.000120
ATFI_imcgy,2020,0.000127
ATFI_imcgy,average,0.000160
ATFI_imcy,1995,0.000779
ATFI_imcy,1996,0.000823
ATFI_imcy,1997,0.000840
ATFI_imcy,1998,0.001318
ATFI_imcy,1999,0.001395
ATFI_imcy,2000,0.001415
ATFI_imcy,2001,0.001260
ATFI_imcy,2002,0.001190
ATFI_imcy,2003,0.001272
ATFI_imcy,2004,0.001105
ATFI_imcy,2005,0.001398
ATFI_imcy,2006,0.000953
ATFI_imcy,2007,0.000650
ATFI_imcy,2008,0.000886
ATFI_imcy,2009,0.000745
ATFI_imcy,2010,0.000638
ATFI_imcy,2011,0.000572
ATFI_imcy,2012,0.000580
ATFI_imcy,2013,0.000507
ATFI_imcy,2014,0.000509
ATFI_imcy,2015,0.000537
ATFI_imcy,2016,0.000534
ATFI_imcy,2017,0.000532
ATFI_imcy,2018,0.000596
ATFI_imcy,2019,0.000567
ATFI_imcy,2020,0.000521
ATFI_imcy,average,0.000780
ATFI_imigy,1995,0.000017
ATFI_imigy,1996,0.000020
ATFI_imigy,1997,0.000021
ATFI_imigy,1998,0.000039
ATFI_imigy,1999,0.000039
ATFI_imigy,2000,0.000040
ATFI_imigy,2001,0.000039
ATFI_imigy,2002,0.000039
ATFI_imigy,2003,0.000044
ATFI_imigy,2004,0.000033
ATFI_imigy,2005,0.000048
ATFI_imigy,2006,0.000030
ATFI_imigy,2007,0.000020
ATFI_imigy,2008,0.000033
ATFI_imigy,2009,0.000028
ATFI_imigy,2010,0.000025
ATFI_imigy,2011,0.000020
ATFI_imigy,2012,0.000020
ATFI_imigy,2013,0.000018
ATFI_imigy,2014,0.000018
ATFI_imigy,2015,0.000017
ATFI_imigy,2016,0.000017
ATFI_imigy,2017,0.000016
ATFI_imigy,2018,0.000019
ATFI_imigy,2019,0.000022
ATFI_imigy,2020,0.000023
ATFI_imigy,average,0.000027
ATFI_imiy,1995,0.000727
ATFI_imiy,1996,0.000814
ATFI_imiy,1997,0.000831
ATFI_imiy,1998,0.001533
ATFI_imiy,1999,0.001509
ATFI_imiy,2000,0.001622
ATFI_imiy,2001,0.001458
ATFI_imiy,2002,0.001341
ATFI_imiy,2003,0.001477
ATFI_imiy,2004,0.001098
ATFI_imiy,2005,0.001481
ATFI_imiy,2006,0.000936
ATFI_imiy,2007,0.000643
ATFI_imiy,2008,0.001015
ATFI_imiy,2009,0.000836
ATFI_imiy,2010,0.000728
ATFI_imiy,2011,0.000602
ATFI_imiy,2012,0.000592
ATFI_imiy,2013,0.000531
ATFI_imiy,2014,0.000504
ATFI_imiy,2015,0.000496
ATFI_imiy,2016,0.000498
ATFI_imiy,2017,0.000495
ATFI_imiy,2018,0.000534
ATFI_imiy,2019,0.000624
ATFI_imiy,2020,0.000628
ATFI_imiy,average,0.000823
ATFR_imcgy,1995,0.000932
ATFR_imcgy,1996,0.000939
ATFR_imcgy,1997,0.001086
ATFR_imcgy,1998,0.001170
ATFR_imcgy,1999,0.001369
ATFR_imcgy,2000,0.001049
ATFR_imcgy,2001,0.001040
ATFR_imcgy,2002,0.001051
ATFR_imcgy,2003,0.000992
ATFR_imcgy,2004,0.001086
ATFR_imcgy,2005,0.001080
ATFR_imcgy,2006,0.000974
ATFR_imcgy,2007,0.000943
ATFR_imcgy,2008,0.000884
ATFR_imcgy,2009,0.000826
ATFR_imcgy,2010,0.000684
ATFR_imcgy,2011,0.000729
ATFR_imcgy,2012,0.000676
ATFR_imcgy,2013,0.000728
ATFR_imcgy,2014,0.000794
ATFR_imcgy,2015,0.000721
ATFR_imcgy,2016,0.000688
ATFR_imcgy,2017,0.000678
ATFR_imcgy,2018,0.000812
ATFR_imcgy,2019,0.000792
ATFR_imcgy,2020,0.000889
ATFR_imcgy,average,0.000871
ATFR_imcy,1995,0.007650
ATFR_imcy,1996,0.007744
ATFR_imcy,1997,0.007691
ATFR_imcy,1998,0.008098
ATFR_imcy,1999,0.008296
ATFR_imcy,2000,0.007609
ATFR_imcy,2001,0.007680
ATFR_imcy,2002,0.007173
ATFR_imcy,2003,0.007122
ATFR_imcy,2004,0.007043
ATFR_imcy,2005,0.006965
ATFR_imcy,2006,0.006199
ATFR_imcy,2007,0.005956
ATFR_imcy,2008,0.005688
ATFR_imcy,2009,0.005004
ATFR_imcy,2010,0.004902
ATFR_imcy,2011,0.005333
ATFR_imcy,2012,0.005426
ATFR_imcy,2013,0.005342
ATFR_imcy,2014,0.005333
ATFR_imcy,2015,0.005001
ATFR_imcy,2016,0.004705
ATFR_imcy,2017,0.004617
ATFR_imcy,2018,0.004859
ATFR_imcy,2019,0.004741
ATFR_imcy,2020,0.003964
ATFR_imcy,average,0.005833
ATFR_imigy,1995,0.000118
ATFR_imigy,1996,0.000128
ATFR_imigy,1997,0.000130
ATFR_imigy,1998,0.000141
ATFR_imigy,1999,0.000150
ATFR_imigy,2000,0.000126
ATFR_imigy,2001,0.000123
ATFR_imigy,2002,0.000119
ATFR_imigy,2003,0.000123
ATFR_imigy,2004,0.000130
ATFR_imigy,2005,0.000137
ATFR_imigy,2006,0.000121
ATFR_imigy,2007,0.000112
ATFR_imigy,2008,0.000111
ATFR_imigy,2009,0.000096
ATFR_imigy,2010,0.000090
ATFR_imigy,2011,0.000097
ATFR_imigy,2012,0.000093
ATFR_imigy,2013,0.000097
ATFR_imigy,2014,0.000095
ATFR_imigy,2015,0.000094
ATFR_imigy,2016,0.000090
ATFR_imigy,2017,0.000092
ATFR_imigy,2018,0.000104
ATFR_imigy,2019,0.000100
ATFR_imigy,2020,0.000094
ATFR_imigy,average,0.000111
ATFR_imiy,1995,0.004969
ATFR_imiy,1996,0.005214
ATFR_imiy,1997,0.005157
ATFR_imiy,1998,0.005491
ATFR_imiy,1999,0.005747
ATFR_imiy,2000,0.005172
ATFR_imiy,2001,0.004662
ATFR_imiy,2002,0.004070
ATFR_imiy,2003,0.004129
ATFR_imiy,2004,0.004308
ATFR_imiy,2005,0.004252
ATFR_imiy,2006,0.003730
ATFR_imiy,2007,0.003501
ATFR_imiy,2008,0.003436
ATFR_imiy,2009,0.002848
ATFR_imiy,2010,0.002619
ATFR_imiy,2011,0.002862
ATFR_imiy,2012,0.002767
ATFR_imiy,2013,0.002801
ATFR_imiy,2014,0.002678
ATFR_imiy,2015,0.002733
ATFR_imiy,2016,0.002680
ATFR_imiy,2017,0.002836
ATFR_imiy,2018,0.002845
ATFR_imiy,2019,0.002785
ATFR_imiy,2020,0.002559
ATFR_imiy,average,0.003460
ATGR_imcgy,1995,0.000025
ATGR_imcgy,1996,0.000021
ATGR_imcgy,1997,0.000029
ATGR_imcgy,1998,0.000036
ATGR_imcgy,1999,0.000047
ATGR_imcgy,2000,0.000051
ATGR_imcgy,2001,0.000040
ATGR_imcgy,2002,0.000038
ATGR_imcgy,2003,0.000038
ATGR_imcgy,2004,0.000043
ATGR_imcgy,2005,0.000047
ATGR_imcgy,2006,0.000052
ATGR_imcgy,2007,0.000095
ATGR_imcgy,2008,0.000058
ATGR_imcgy,2009,0.000043
ATGR_imcgy,2010,0.000046
ATGR_imcgy,2011,0.000054
ATGR_imcgy,2012,0.000042
ATGR_imcgy,2013,0.000045
ATGR_imcgy,2014,0.000051
ATGR_imcgy,2015,0.000050
ATGR_imcgy,2016,0.000049
ATGR_imcgy,2017,0.000052
ATGR_imcgy,2018,0.000065
ATGR_imcgy,2019,0.000067
ATGR_imcgy,2020,0.000066
ATGR_imcgy,average,0.000050
ATGR_imcy,1995,0.001623
ATGR_imcy,1996,0.001483
ATGR_imcy,1997,0.001808
ATGR_imcy,1998,0.001636
ATGR_imcy,1999,0.001719
ATGR_imcy,2000,0.001664
ATGR_imcy,2001,0.001683
ATGR_imcy,2002,0.001663
ATGR_imcy,2003,0.001599
ATGR_imcy,2004,0.001797
ATGR_imcy,2005,0.001306
ATGR_imcy,2006,0.001219
ATGR_imcy,2007,0.001298
ATGR_imcy,2008,0.001060
ATGR_imcy,2009,0.000878
ATGR_imcy,2010,0.000837
ATGR_imcy,2011,0.000854
ATGR_imcy,2012,0.000685
ATGR_imcy,2013,0.000786
ATGR_imcy,2014,0.000896
ATGR_imcy,2015,0.000980
ATGR_imcy,2016,0.000864
ATGR_imcy,2017,0.000939
ATGR_imcy,2018,0.001036
ATGR_imcy,2019,0.001037
ATGR_imcy,2020,0.000510
ATGR_imcy,average,0.001130
ATGR_imigy,1995,0.000002
ATGR_imigy,1996,0.000002
ATGR_imigy,1997,0.000002
ATGR_imigy,1998,0.000002
ATGR_imigy,1999,0.000002
ATGR_imigy,2000,0.000003
ATGR_imigy,2001,0.000003
ATGR_imigy,2002,0.000003
ATGR_imigy,2003,0.000003
ATGR_imigy,2004,0.000003
ATGR_imigy,2005,0.000004
ATGR_imigy,2006,0.000004
ATGR_imigy,2007,0.000004
