Variables ->,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,U2,U9,RA,RU
2009Y,286274.1,347735.0,37339.30723019135,18675.4,148639.98298432093,2493970.0,231557.28652083542,14132.54,1072990.0,181735.0,1935840.0,234322.6,44683.0,93885.35718039026,169520.0,1584107.0,26980.5,39050.8,18482.486688956,6287.7,630173.0,316488.9731147825,175416.5,125296.92118589907,311720.82273016335,35830.3,64055.2,9380261.126688957,1663181.1266889572,437697.9266889575,1264928.650946583
2010Y,294050.6,363242.0,38204.4226000826,19461.1,159156.4352409837,2615260.0,242949.78072605547,14741.759999999998,1077145.0,188147.0,1996075.0,223590.5,44492.0,99411.20686362135,167255.0,1617944.0,27655.2,42402.700000000004,17719.6401264632,6861.900000000001,643022.0,360349.49053546786,179860.4,128375.63120191112,371383.10940851405,36050.8,68726.6,9643703.200126462,1694257.2001264617,445366.70012646215,1399830.0765766362
2011Y,308167.1,378747.0,41446.52264161666,19858.2,166291.34494094166,2746910.0,247404.76497301488,16741.86,1068690.0,197655.0,2062141.0,203475.0,45188.0,101826.37091642118,173121.0,1657362.0,31042.0,44323.4,19117.259714845102,7032.8,656013.0,379280.31363036664,176317.90000000002,138567.45086009594,409954.98724082287,36782.200000000004,71629.40000000001,9920314.119714845,1729198.119714845,464836.11971484544,1484771.7552032797
2012Y,316589.4,387936.0,42234.72040545455,19495.4,163630.09745602662,2799280.0,254194.15149053364,18086.559999999998,1035964.0,200378.0,2088286.9999999998,185899.2,44792.0,99930.02443157492,176622.0,1632899.0,33241.799999999996,46526.200000000004,21104.3255395759,7479.5,658232.0,387482.7512405239,168538.7,139411.62147453713,427612.5608788054,35933.6,73727.5,9951012.185539575,1736350.1855395753,477008.8855395748,1514495.927377456
2013Y,321191.7,394617.0,42028.594876097406,18040.3,160393.31574972885,2866480.0,259484.56786416183,19163.23,1025652.0,203497.0,2120352.0,178113.9,45066.0,102132.54614940306,182909.0,1621262.0,34876.3,49094.5,21956.1930696449,8129.400000000001,665567.0,390155.2165033583,170675.6,142936.49745982338,439807.9260150264,36041.3,74642.70000000001,10057327.123069644,1758014.123069644,489918.9230696447,1536938.664617599
2014Y,330113.4,404959.0,42955.12619660874,17482.8,158717.96625748114,2984470.0,265518.72330102074,20365.58,1038949.0000000001,205855.0,2153733.0,176071.8,44872.0,106204.1780594285,200595.0,1635870.0,36413.3,51791.200000000004,22790.504538754198,8948.5,678627.0,408073.7499007785,173186.6,150498.9219086903,434759.93351009476,37270.899999999994,76562.29999999999,10298926.884538755,1807277.8845387548,517092.0845387544,1566728.5991341025
2015Y,342083.5,415538.0,45750.29223537916,17944.0,170424.83716203523,3087030.0,271946.71473346895,21010.89,1087112.0,210192.0,2201402.0,175362.9,45972.0,112870.65866544408,272284.0,1663278.0,37443.2,54142.4,23744.2633392524,10221.4,699175.0,432333.88326158415,179392.59999999998,160304.5992095927,452046.63688844047,38493.899999999994,80376.2,10662198.253339252,1924201.2533392515,601632.253339251,1645677.6221559448
2016Y,355665.7,428467.0,48734.45347683888,19013.7,179072.00134829452,3195210.0,282109.7213038207,22188.960000000003,1122967.0,215717.0,2231819.0,174448.2,47569.0,116558.67752110562,275933.0,1704856.0,38814.6,56208.0,24498.1738347472,10864.3,720175.0,427330.4092371586,186380.8,167483.45122955967,463635.81566201476,40013.2,81621.6,10952430.233834747,1977403.2338347472,616724.5338347477,1684924.529778793
2017Y,367294.89999999997,443408.0,52500.96736423923,20312.4,196198.53306689428,3333110.0,293647.0910509337,24316.13,1170024.0,224706.0,2291681.0,177378.5,49736.0,126925.8060848274,308366.0,1744494.0,42278.799999999996,58168.799999999996,26017.128425442002,12535.7,750861.0,467993.17392753315,195509.09999999998,186427.74895470752,473904.75175887323,42625.5,84960.3,11367783.258425443,2077613.2584254425,669316.758425442,1797598.0722080085
2018Y,383234.2,459492.0,56130.46839449228,21807.8,213283.525087499,3434030.0,300716.3224376296,26438.48,1212276.0,231905.0,2355363.0,180615.7,52217.0,136424.92568259602,335136.0,1777744.0,45954.2,60193.399999999994,28153.4431892968,13678.599999999999,787273.0,503297.744713548,204997.6,206223.7065715886,465217.0776326561,45462.4,90275.9,11746247.723189296,2179561.723189296,719317.2231892967,1881293.7705200096
