PARAMETER VALUES EVOLUTION
==========================

                 steady0    steady1a    steady1b      steady2       steady3      steady4       steady6      steady7  
AT_mutig         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
AT_nuig          0.5        0.8         0.8           0.8           0.8          0.8           0.8          0.8      
AT_nutig         0.5        0.5         0.5           0.5           0.5          0.5           0.8899       0.8899   
AT_omega         0.25       0.25        0.25          0.25          0.25         0.25          0.25         0.25     
AT_phitb         0.1        0.1         0.1           0.1           0.1          0.1           0.1          0.1      
AT_pi4target     1          1           1.02          1.02          1.02         1.02          1.02         1.02     
AT_psin          0          0.28        0.28          0.28          0.28         0.28          0.28         0.28     
AT_psit          0          0.2         0.1864        0.1864        0.1864       0.1864        0.1825       0.1825   
AT_rhocg         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhoig         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhorp         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhotauc       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhotaud       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhotauk       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhotaun       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhotauwf      0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhotauwh      0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhotr         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhowcst       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhozcon       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhozinv       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhozn         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_rhozt         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
AT_sigma         1          1           1             1             1            1             1            1        
AT_size          0.07143    0.07143     0.07143       0.07143       0.07143      0.07143       0.00563      0.00563  
AT_xin           0.1        0.92        0.92          0.92          0.92         0.92          0.92         0.92     
AT_xih           0.1        0.92        0.92          0.92          0.92         0.92          0.92         0.92     
AT_xii           0.1        0.75        0.75          0.75          0.75         0.75          0.75         0.75     
AT_xij           0.1        0.75        0.75          0.75          0.75         0.75          0.75         0.75     
AT_xix           0.1        0.75        0.75          0.75          0.75         0.75          0.75         0.75     
AT_zeta          2          2           2             2             2            2             2            2        
AT_eta           1.1        4.33        4.33          4.33          4.33         4.33          4.33         4.33     
AT_etai          1.1        4.33        4.33          4.33          4.33         4.33          4.33         4.33     
AT_etaj          1.1        4.33        4.33          4.33          4.33         4.33          4.33         4.33     
AT_thetan        1.1        3           3             3             3            3             3            3        
AT_thetat        1.1        6           6             6             6            6             6            6        
AT_upsilont      1          1           1.2           1.2           1.2          1.2           1.2          1.2      
AT_upsilontr     1          1           0.6667        0.6667        0.6667       0.6667        0.6667       0.6667   
ATRA_rerbar      1          1           0.9792        0.9792        0.9903       0.9874        0.816        0.816    
ATBE_rerbar      1          1           1.003         1.003         1            1.004         0.9633       0.9633   
ATES_rerbar      1          1           0.9733        0.9733        0.9792       0.9771        0.9375       0.9375   
ATFI_rerbar      1          1           0.9918        0.9918        0.9884       0.9843        0.9337       0.9337   
ATFR_rerbar      1          1           0.9801        0.9801        0.9773       0.9733        0.9195       0.9195   
ATGR_rerbar      1          1           0.9488        0.9488        0.9538       0.9475        0.8444       0.8444   
ATIT_rerbar      1          1           0.9851        0.9851        0.9913       0.9924        1            1        
ATNL_rerbar      1          1           0.9697        0.9697        0.9658       0.9609        0.8432       0.8432   
ATPT_rerbar      1          1           0.9641        0.9641        0.9708       0.9683        0.926        0.926    
ATDE_rerbar      1          1           0.9848        0.9848        0.9867       0.9892        0.9563       0.9563   
ATRU_rerbar      1          1           0.9868        0.9868        0.9856       0.982         0.9179       0.9179   
ATRW_rerbar      1          1.035       0.9688        0.9688        0.9811       0.962         0.8016       0.8016   
